GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-30mph Time(s),0-60mph Time(s),40-60mph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(Â°C),Engine reference torque(Nm),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(Â°C),Exhaust gas temp Bank 1 Sensor 2(Â°C),Exhaust gas temp Bank 2 Sensor 1(Â°C),Exhaust gas temp Bank 2 Sensor 2(Â°C),Exhaust Pressure(psi),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Rate (direct from ECU)(L/m),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Percentage of City driving(%),Percentage of Highway driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Transmission Temperature(Method 2)(Â°C),Trip Distance(miles),Trip time(whilst moving)(s),Trip time(whilst stationary)(s)
Fri May 25 19:22:41 EDT 2018,22:41.2,-79.82734516,43.74873803,3.7355862,4,231.3106302,312.32956,-1.16597629,-6.79354715,6.37935066,0.00271882,-,-,-,12.54901981,-0.02046294,30.58823586,30.19607925,-,-,14.549716,14.35187912,3.35540438,0.18957086,0.92671651,2.65389609,-,-,-,52.54901886,34.50980377,-,-,1750,-,-,-,-,-,1.81171775,0.0301953,-,13.12335968,758.8931274,312.3295593,43.74873734,-79.8273468,15,16.39585495,51,2.62461066,25.56869698,1.78506505,0,-,8.23529434,316,8.35626793,12.42742348,11.76470566,40.3508873,-,0.02098957,14.72799969,301.5610046
Fri May 25 19:22:44 EDT 2018,22:44.2,-79.82753678,43.74887252,6.937076,3,231.6265406,314.2194,-2.85029721,-8.57243919,5.43723202,0.09381407,-,-,-,4.31372547,-0.01615698,0,0,-,-,14.549716,15.27197552,6.11811638,0.44186398,0.10134298,1.49871075,-,-,-,19.2156868,14.90196037,-,-,1025,-,-,-,-,-,0.43656397,0.00727607,-,9.84251976,759.9296265,314.2193909,43.74887085,-79.82753754,15,18.83926773,51,15.73288536,25.55220795,2.63590908,0,-,1.17647064,320,15.51779652,16.15565109,4.31372547,86.54827881,-,0.03434971,17.49200058,301.5610046
Fri May 25 19:22:47 EDT 2018,22:47.2,-79.82772034,43.7489927,5.980228,3,231.6577374,298.52435,-3.34829116,-6.88332987,5.23492193,0.0042173,-,-,-,4.31372547,0.02095156,0,0,-,-,14.549716,14.68968201,7.04220676,0.58040166,0.05234919,1.03347492,-,-,-,24.31372643,17.25490189,-,-,950,-,-,-,-,-,0.42686602,0.00711443,-,9.84251976,760.0319214,298.524353,43.74899292,-79.82772064,15,-,50,11.13945293,25.54811668,3.58747864,0,-,1.17647064,322,13.37738895,8.69919682,4.70588255,-,-,0.04676871,20.64100075,301.5610046
Fri May 25 19:22:50 EDT 2018,22:50.2,-79.82787421,43.74902779,4.6707444,4,231.5879303,255.20796,-4.12281513,-5.81791019,6.81030655,0.01899173,-,-,-,11.37254906,0.01894388,35.29411697,34.90196228,-,-,14.549716,14.62777328,7.23714638,0.66864944,0.16149892,0.95488667,-,-,-,45.49019623,36.07843018,-,-,1937.5,-,-,-,-,-,1.90163684,0.03169395,-,13.12335968,759.8029175,255.207962,43.74902725,-79.82787323,15,2.89734221,50,2.22267175,25.514328,4.35894966,0,-,7.05882359,326,10.44815826,9.94193935,10.98039246,-,-,0.05496057,23.23999977,301.5610046
Fri May 25 19:22:53 EDT 2018,22:53.2,-79.82804318,43.74892373,6.671831,3,231.4351799,216.8561,-2.56179571,-6.86896467,6.23330402,-0.00007588,-,-,-,16.47058868,-0.03018534,33.33333206,34.90196228,-,-,14.549716,14.14596748,7.91430664,0.80845064,0.28712276,0.8091433,-,-,-,52.15686417,36.07843018,-,-,1850,-,-,-,-,-,2.22753406,0.03712557,-,9.84251976,759.3017578,216.8560944,43.74892426,-79.82804108,15,16.7526741,48,2.84622884,25.47052956,5.24840498,0,-,12.94117641,326,14.92446041,17.39839363,18.8235302,54.69857025,-,0.06637707,26.28899956,301.5610046
Fri May 25 19:22:56 EDT 2018,22:56.2,-79.82823393,43.74873365,8.236266,4,231.2074845,222.26083,-3.22020125,-7.87931776,5.22175407,0.02494137,-,-,-,4.31372547,0.04120016,10.98039246,6.27450991,-,-,14.549716,14.86957359,8.45064831,0.90381265,0.30916008,0.6691311,-,-,-,21.56862831,31.37254906,-,-,962.5,-,-,-,-,-,0.47724524,0.00795409,-,13.12335968,758.5547485,222.2608337,43.74873352,-79.82823181,15,6.57801247,47,16.60590553,25.46520805,6.12657499,0,-,1.17647064,330,18.42400169,17.39839363,4.70588255,40.29283905,-,0.08261311,29.3560009,301.5610046
Fri May 25 19:22:59 EDT 2018,22:59.2,-79.8284094,43.74859477,5.897497,3,230.9397287,228.37282,-3.51468801,-7.26041651,4.74889898,0.00082859,-,-,-,4.70588255,-0.07958522,0,0,-,-,14.549716,14.59592342,8.81755352,0.98493946,0.09790774,0.58421761,-,-,-,23.52941132,17.25490189,-,-,987.5,-,-,-,-,-,0.43406078,0.00723435,-,9.84251976,757.6762695,228.372818,43.74859619,-79.82840729,15,-,47,15.82361603,25.46211433,6.96326685,0,-,0.78431374,334,13.19232559,8.69919682,4.70588255,40.29283905,-,0.0956182,32.33200073,301.5610046
Fri May 25 19:23:02 EDT 2018,23:02.2,-79.82849561,43.74855117,3.687394,2,230.916845,261.98743,-1.52151513,-8.04451752,6.01782608,0.0061501,-,-,-,10.98039246,-0.03665345,34.90196228,34.11764908,-,-,14.549716,14.61162376,8.69919682,1.01260495,0.09160609,0.50898743,-,-,-,42.74509811,36.07843018,-,-,1725,-,-,-,-,-,1.3413589,0.02235598,-,6.56167984,757.6011963,261.9874268,43.74855042,-79.82849884,15,-,47,2.7571857,25.42936325,7.76874876,0,-,6.66666698,337,8.24846554,8.69919682,9.01960754,-,-,0.10098547,35.2480011,301.5610046
Fri May 25 19:23:05 EDT 2018,23:05.2,-79.82866678,43.74858449,5.360789,2,230.7462146,308.2542,-2.97000718,-6.57567501,6.73967791,0.00326682,-,-,-,12.54901981,-0.03130281,32.15686417,31.76470566,-,-,14.82964706,14.61162376,8.90632057,1.11911881,0.69968617,0.47470778,-,-,-,53.72549057,38.4313736,-,-,1950,-,-,-,-,-,2.05644941,0.03427416,-,6.56167984,757.0413818,308.2542114,43.74858475,-79.82866669,15,13.11668491,47,2.82610035,25.39642334,8.69692993,0,-,7.84313726,340,11.99174309,14.91290855,11.76470566,39.0868721,-,0.1101179,38.67200089,301.5610046
Fri May 25 19:23:08 EDT 2018,23:08.2,-79.82889108,43.74872377,8.286216,3,230.5762385,305.4897,-3.82354021,-6.7779851,5.84304905,-0.00603295,-,-,-,13.33333397,-0.02616279,27.05882454,26.27450943,-,-,14.89155579,13.41563416,9.55955696,1.28781593,0.23063932,0.43769401,-,-,-,27.84313774,43.13725662,-,-,1200,-,-,-,-,-,0.45207882,0.00753465,-,9.84251976,756.4837036,305.4896851,43.74872208,-79.82888794,15,8.08305359,46,18.69901657,25.3672142,9.52421188,0,-,5.49019623,343,18.53573608,19.88387871,11.76470566,80.2283783,-,0.12490169,41.78300095,301.5610046
