GPS_Speed,Absolute_Throttle_Position_B,Average_trip_speed(moving only),Engine_Load(%),Engine_Load(Absolute)(%),Engine_RPM,Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Relative Throttle Position(%),Speed(mph),Throttle Position(Manifold)(%),Torque(Nm),Normal Driving
11.118132,10.1960783,15.6617403,50.98039246,40,1187.5,1.14379454,0.01906324,6.66666698,24.85484695,9.01960754,49.18942642,1
11.913735,10.98039246,15.92263699,43.92156982,41.5686264,1125,0.88932449,0.01482207,7.45098066,27.34033203,10.98039246,58.53660965,1
12.668174,4.70588255,16.35029793,19.6078434,15.68627453,1125,0,0,0.78431374,27.34033203,4.70588255,-,1
12.397637,4.70588255,16.73367119,19.6078434,14.90196037,1137.5,0,0,1.17647064,26.09758949,4.70588255,-,1
12.0224495,4.70588255,17.04930878,19.2156868,14.90196037,1137.5,0,0,1.17647064,24.85484695,4.70588255,-,1
10.38121,4.70588255,17.24980545,19.2156868,15.68627453,1075,0.49582836,0.00826381,1.17647064,18.64113617,4.70588255,-,1
6.3779716,4.70588255,17.18686295,21.96078491,17.25490189,1050,0.50491005,0.00841517,1.17647064,6.21371174,4.70588255,-,1
3.0338385,10.58823586,16.78342819,54.50980377,36.86274338,2012.5,2.17142653,0.03619044,7.05882359,8.69919682,11.37254906,8.94143391,1
6.398373,18.8235302,16.69542694,64.70588684,53.33333206,2150,2.935395,0.04892325,14.11764717,17.39839363,18.03921509,70.51184845,1
10.118979,20.3921566,16.83794212,72.15686035,59.60784149,1737.5,2.51505303,0.04191755,16.07843208,26.09758949,20.7843132,102.187912,1
12.82331,17.25490189,17.13800812,67.45098114,58.03921509,1387.5,1.77527773,0.02958796,13.33333397,29.82581711,18.8235302,98.39752197,1
13.371538,4.70588255,17.50195503,20.7843132,16.47058868,1100,0,0,1.17647064,28.58307457,4.70588255,80.03792572,1
11.136485,4.31372547,17.71187782,21.56862831,15.68627453,1087.5,0,0,0.78431374,18.64113617,4.70588255,-,1
5.657207,4.70588255,17.62934494,21.96078491,16.47058868,1025,0.49171725,0.00819529,1.17647064,4.97096968,4.70588255,-,1
3.35128,12.15686321,17.30197334,53.33333588,40,2025,2.2000823,0.03666804,7.84313726,9.94193935,12.94117641,-,1
5.71908,4.31372547,17.20882225,22.74509811,21.96078491,912.5,0.439834,0.00733057,1.17647064,12.42742348,4.70588255,50.85078049,1
4.2400045,4.70588255,17.00811005,22.74509811,17.25490189,1012.5,0.42344344,0.00705739,1.17647064,4.97096968,4.70588255,-,1
2.6280406,7.05882359,16.69684601,55.29411697,25.88235283,1912.5,1.91541708,0.03192362,3.13725495,7.45645428,10.58823586,-,1
6.386468,11.37254906,16.62907791,38.82352829,50.98039246,1850,1.47998643,0.02466644,7.05882359,17.39839363,14.90196133,78.17726135,1
8.899788,7.45098066,16.69513702,24.70588303,21.1764698,1450,0.65948397,0.0109914,3.52941179,21.12662125,7.45098066,74.46380615,1
10.061953,6.66666698,16.8146801,26.27450943,18.03921509,1500,0.76359057,0.01272651,2.74509811,22.36936378,7.45098066,45.9626236,1
11.306618,4.31372547,16.97493935,23.52941132,14.90196037,1312.5,1.08863437,0.01814391,1.17647064,24.85484695,5.09803915,53.47598267,1
12.269548,13.33333397,17.15524864,53.72549057,43.92156982,1725,1.77719712,0.02961995,9.01960754,27.34033203,13.33333397,-,1
13.600434,18.4313736,17.40720749,75.29412079,55.68627548,2087.5,3.2062788,0.05343798,14.11764717,32.31130219,20.3921566,43.65624619,1
15.818705,29.41176605,17.64172745,76.86274719,65.09803772,2087.5,3.35298014,0.055883,24.70588303,37.28227234,29.41176605,95.28321838,1
17.770275,61.56863022,17.93834305,86.66667175,76.07843018,3175,6.23694134,0.10394903,55.29411697,43.49598312,49.80392075,88.14987183,1
21.595337,49.41176605,18.5151825,78.03921509,70.58823395,2762.5,4.82111979,0.08035199,43.13725662,48.46695328,43.52941132,102.582222,1
22.585178,10.98039246,19.14317131,56.86274719,29.80392075,1750,2.06243157,0.03437386,6.27450991,49.70969391,13.72549057,180.885788,1
22.974865,18.03921509,19.74669266,69.80392456,54.90196228,1812.5,2.46524739,0.04108746,13.72549057,50.95243835,18.4313736,-,1
