GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-30mph Time(s),0-60mph Time(s),40-60mph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(Â°C),Engine reference torque(Nm),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(Â°C),Exhaust gas temp Bank 1 Sensor 2(Â°C),Exhaust gas temp Bank 2 Sensor 1(Â°C),Exhaust gas temp Bank 2 Sensor 2(Â°C),Exhaust Pressure(psi),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Rate (direct from ECU)(L/m),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Percentage of City driving(%),Percentage of Highway driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Transmission Temperature(Method 2)(Â°C),Trip Distance(miles),Trip time(whilst moving)(s),Trip time(whilst stationary)(s)
Fri May 25 19:32:15 EDT 2018,32:14.6,-79.87954969,43.75834241,11.280511,4,245.917327,224.31961,0.71586633,-8.48624802,4.80157137,0.00216967,-,-,-,5.49019623,-0.03315287,7.45098066,7.05882359,-,-,14.91578007,14.69371891,31.06308365,22.30075836,0.08004454,0.05448562,-,-,-,29.01960754,19.6078434,-,-,1112.5,-,-,-,-,-,0.63489002,0.0105815,-,13.12335968,806.8153687,224.3196106,43.75834274,-79.87954712,15,10.08182144,34,16.64349174,22.79231262,54.45884705,4.07926321,-,1.96078432,877,25.23378181,24.85484695,5.09803915,59.82515717,-,4.6459775,531.3319702,358.480011
Fri May 25 19:32:18 EDT 2018,32:17.5,-79.87984772,43.75813097,11.283438,4,246.0047323,223.69087,0.86909521,-8.77115822,4.80516291,0.03831102,-,-,-,8.62745094,0.06650034,17.64705849,16.86274529,-,-,14.80183315,14.00779629,31.01961136,22.31083488,0.05255893,0.05447887,-,-,-,31.76470566,36.07843018,-,-,1137.5,-,-,-,-,-,0.52614337,0.00876906,-,13.12335968,807.1021118,223.6908722,43.75812912,-79.87984467,14,-,34,20.08347321,22.7863884,54.61553574,4.06522846,-,5.09803915,880,25.24033165,24.85484695,8.62745094,-,-,4.66685486,534.4039917,358.480011
Fri May 25 19:32:21 EDT 2018,32:20.5,-79.88012585,43.75791462,10.730563,4,245.9368668,223.5228,0.17717093,-8.64785671,4.6698904,0.02846577,-,-,-,4.31372547,0.02084011,0,0,-,-,0,29.39955139,30.98733521,22.31490898,0.05427013,0.05437475,-,-,-,20.7843132,16.47058868,-,-,1100,-,-,-,-,-,0,0,-,13.12335968,806.8795166,223.5227966,43.7579155,-79.88012695,15,-,34,217.6716766,22.79221916,54.7636261,4.05196333,-,0.78431374,883,24.00358582,22.36936378,4.70588255,-,-,4.68727016,537.3270264,358.480011
Fri May 25 19:32:24 EDT 2018,32:23.5,-79.88036851,43.75773814,8.636877,4,245.9267997,224.9527,-0.83916771,-8.83939266,3.82114601,0.01546878,-,-,-,4.70588255,0.03756884,0,0,-,-,12.49957561,12.659729,30.91523361,22.30354881,0.03365335,0.05409976,-,-,-,21.96078491,16.47058868,-,-,1025,-,-,-,-,-,0.47503212,0.0079172,-,13.12335968,806.8464966,224.9526978,43.75774002,-79.88037109,15,-,34,16.68327332,22.79440117,54.91542053,4.03836632,-,0.78431374,886,19.32014275,16.15565109,4.70588255,-,-,4.70447445,540.3430176,358.480011
Fri May 25 19:32:27 EDT 2018,32:26.5,-79.88050887,43.75763536,4.6247344,4,246.0168461,226.17546,-0.65960258,-9.62588787,4.85544109,0.08040315,-,-,-,4.70588255,0.05004333,0,0,-,-,14.88976097,14.35771084,30.78793907,22.25183105,0.07037387,0.05401866,-,-,-,22.35294151,16.47058868,-,-,1012.5,-,-,-,-,-,0.44849485,0.00747491,-,13.12335968,807.1419067,226.1754608,43.75763702,-79.88050842,15,-,34,5.89013815,22.79097557,55.06908798,4.02460194,-,1.17647064,889,10.34523678,4.97096968,4.70588255,-,-,4.71445894,543.4169922,358.480011
Fri May 25 19:32:30 EDT 2018,32:29.5,-79.88054814,43.75760119,1.829535,4,246.059122,223.44902,1.7764976,-8.06007957,5.22414827,0.03224237,-,-,-,4.70588255,0.01542798,0,0,-,-,14.89155579,14.80990887,30.66407013,22.18880844,0.11506947,0.05401471,-,-,-,47.05882263,23.52941132,-,-,1450,-,-,-,-,-,1.39585984,0.02326433,-,13.12335968,807.2805786,223.4490204,43.75760269,-79.88054657,15,-,34,0.3785046,22.77819633,54.99111557,4.0115695,-,1.17647064,891,4.09255314,2.48548484,4.70588255,-,-,4.71753263,546.3469849,358.480011
Fri May 25 19:32:33 EDT 2018,32:32.5,-79.88056512,43.75753996,3.3747845,4,246.1149437,168.3722,1.78607452,-8.13190651,4.70580339,0.01862733,-,-,-,11.76470566,-0.00780111,34.90196228,34.50980377,-,-,14.72557068,14.71794415,30.5571537,22.13766479,0.628932,0.05417826,-,-,-,54.50980377,40.7843132,-,-,1987.5,-,-,-,-,-,2.09907937,0.03498465,-,13.12335968,807.4637451,168.3721924,43.75754166,-79.88056183,15,9.5717802,34,1.76190352,22.74645996,55.05254364,3.99817157,-,8.23529434,894,7.54917717,9.94193935,12.54901981,27.13796425,-,4.72198296,549.3790283,358.480011
Fri May 25 19:32:36 EDT 2018,32:35.5,-79.88043241,43.75739607,7.232344,4,246.5131096,134.24333,1.21625447,-8.44315243,4.74411058,0.1342887,-,-,-,14.90196133,-0.13729699,32.54901886,32.15686417,-,-,14.68564415,14.73364544,30.48544884,22.11165237,0.70055324,0.05451446,-,-,-,61.96078491,46.27450943,-,-,1812.5,-,-,-,-,-,2.21596432,0.03693274,-,13.12335968,808.7700195,134.2433319,43.7573967,-79.88043213,15,18.13311005,34,3.09951377,22.71204185,55.19758224,3.98526978,-,10.1960783,898,16.17829323,17.39839363,13.72549057,51.1713028,-,4.73410845,552.3179932,358.480011
Fri May 25 19:32:39 EDT 2018,32:38.6,-79.8801772,43.75720562,10.479698,4,246.6219958,139.28409,1.63164842,-7.95473528,4.5250411,0.01890711,-,-,-,16.47058868,-0.056175,33.33333206,32.94117737,-,-,14.67577457,14.6919241,30.42097092,22.10333252,0.23925611,0.05491428,-,-,-,70.19608307,54.11764526,-,-,1650,-,-,-,-,-,2.31836772,0.03863946,-,13.12335968,809.1272583,139.2840881,43.75720596,-79.88018036,15,21.8096714,34,4.32996321,22.67503548,55.35390854,3.9713645,-,12.15686321,900,23.44241714,24.85484695,16.47058868,109.5384064,-,4.75244999,555.507019,358.480011
Fri May 25 19:32:42 EDT 2018,32:41.5,-79.87985286,43.75695181,12.997799,4,246.4660829,138.26393,1.0570401,-7.84460163,5.97233629,0.03880925,-,-,-,15.29411793,0.04724875,31.37254906,30.98039246,-,-,14.72781372,14.73992634,30.39377975,22.12157249,0.21290663,0.05507978,-,-,-,72.94117737,56.47058868,-,-,1537.5,-,-,-,-,-,2.15612745,0.03593546,-,13.12335968,808.6157227,138.2639313,43.75695038,-79.87985229,14,26.4413929,33,5.63594007,22.64380646,55.4909935,3.95917034,-,11.37254906,903,29.07524872,29.82581711,14.90196133,96.5355072,-,4.77634335,558.3220215,358.480011
